Datetime_Kyiv,Trend_%,Close_Price,Signal_Triggered,Direction,Swept_AL_Into_FVG,1h_Bullish_Flip,Outcome,Entry,SL,TP,Swept_AH_Into_FVG,1h_Bearish_Flip
2006-12-26 16:00:00,25.0,1.9576,Yes,Short,,,Win,1.9576,1.9596,1.9536,1.0,1.0
2006-12-29 23:00:00,25.3,1.9596,Yes,Long,1.0,1.0,Win,1.9596,1.9576,1.9636,,
2007-01-19 18:00:00,94.5,1.9763,Yes,Long,1.0,1.0,Loss,1.9763,1.9743,1.9803,,
2007-01-25 09:00:00,60.0,1.9693,Yes,Short,,,Loss,1.9693,1.9713,1.9653,1.0,1.0
2007-01-25 10:00:00,57.5,1.9719,Yes,Short,,,Win,1.9719,1.9739,1.9679,1.0,1.0
2007-01-26 12:00:00,14.7,1.9614,Yes,Short,,,Win,1.9614,1.9634,1.9574,1.0,1.0
2007-01-30 15:00:00,0.0,1.9628,Yes,Short,,,Win,1.9628,1.9648,1.9588,1.0,1.0
2007-02-01 09:00:00,25.0,1.9645,Yes,Long,1.0,1.0,Win,1.9645,1.9625,1.9685,,
2007-02-05 09:00:00,50.0,1.9661,Yes,Short,,,Win,1.9661,1.9681,1.9621,1.0,1.0
2007-02-08 23:00:00,40.1,1.9591,Yes,Long,1.0,1.0,Loss,1.9591,1.9571,1.9631,,
2007-02-13 11:00:00,0.0,1.9432,Yes,Short,,,Loss,1.9432,1.9452,1.9392,1.0,1.0
2007-02-19 19:00:00,0.0,1.9534,Yes,Long,1.0,1.0,Loss,1.9534,1.9514,1.9574,,
2007-02-21 11:00:00,50.0,1.9506,Yes,Long,1.0,1.0,Win,1.9506,1.9486,1.9546,,
2007-02-22 17:00:00,50.5,1.9528,Yes,Long,1.0,1.0,Win,1.9528,1.9508,1.9568,,
2007-02-23 11:00:00,28.0,1.9563,Yes,Long,1.0,1.0,Win,1.9563,1.9543,1.9603,,
2007-02-26 11:00:00,60.4,1.9634,Yes,Long,1.0,1.0,Loss,1.9634,1.9614,1.9674,,
2007-02-27 10:00:00,62.9,1.9654,Yes,Long,1.0,1.0,Loss,1.9654,1.9634,1.9694,,
2007-03-12 15:00:00,0.0,1.9322,Yes,Long,1.0,1.0,Loss,1.9322,1.9302,1.9362,,
2007-03-12 20:00:00,0.0,1.9324,Yes,Long,1.0,1.0,Loss,1.9324,1.9304,1.9364,,
2007-03-20 12:00:00,50.7,1.9546,Yes,Long,1.0,1.0,Win,1.9546,1.9526,1.9586,,
2007-03-21 12:00:00,80.0,1.9599,Yes,Long,1.0,1.0,Loss,1.9599,1.9579,1.9639,,
2007-03-23 09:00:00,89.7,1.9658,Yes,Short,,,Loss,1.9658,1.9678,1.9618,1.0,1.0
2007-03-23 17:00:00,90.8,1.9604,Yes,Short,,,Loss,1.9604,1.9624,1.9564,1.0,1.0
2007-03-28 19:00:00,63.0,1.9613,Yes,Long,1.0,1.0,Win,1.9613,1.9593,1.9653,,
